date,county,GEOID,T_day,T_night,T_avg
2025-02-26,Bristol,51520,11.194242143658837,1.9439184704184997,6.585120666541989
2025-02-26,Russell,51167,9.779552108083207,2.9779921924724437,8.205002208202453
2025-02-26,Buchanan,51027,9.602926154117931,4.826226799677603,8.997864054112586
2025-02-26,Alleghany,51005,7.474945253644968,2.7425815376522085,6.423635995789194
2025-02-26,Patrick,51141,11.200780021489113,3.323793485538867,7.531467721493772
2025-02-26,Grayson,51077,8.409803497866818,2.0942654912592493,5.394769073026318
2025-02-26,Wythe,51197,9.02824948950231,1.762776544394879,5.706262264512382
2025-02-26,Carroll,51035,9.112450540440266,2.030588857616977,6.053402121967258
2025-02-26,Bath,51017,6.822723465366382,2.3679745827117853,5.981470007694646
2025-02-26,Smyth,51173,9.10561734312647,2.5919902799263954,6.4758886559954645
2025-02-26,Bland,51021,8.582345105642784,3.3325536984205706,7.66021649479914
2025-02-26,Lee,51105,10.703328610667565,3.8615712167364906,8.65141894287857
2025-02-26,Highland,51091,5.761837218451328,1.3097815952692802,4.8541023766083455
2025-02-26,Rockbridge,51163,9.280729940016476,2.786422614687276,7.3140015894600685
2025-02-26,Dickenson,51051,9.95130666642584,4.881270590289725,8.943460944415364
2025-02-26,Wise,51195,9.885965406735206,4.206311723587481,8.5296754289039
2025-02-26,Montgomery,51121,9.165896687191266,1.2084165661066546,6.190515176025802
2025-02-26,Floyd,51063,8.001922767430967,1.399073045962881,5.9439383093079625
2025-02-26,Giles,51071,8.272850129577055,2.317991599107068,6.731132168213821
2025-02-26,Pulaski,51155,9.569810396590626,1.3053587548695413,6.593111318515715
2025-02-26,Tazewell,51185,8.938001289000415,3.1472064881231425,7.730449730654004
2025-02-26,Pittsylvania,51143,10.762151505107335,3.1114730011572442,7.3835384051888235
2025-02-26,Amherst,51009,10.21432457386248,2.3901157046049932,6.79751579522062
2025-02-26,Bedford,51019,10.845962261764651,2.523736606681971,7.307179521825812
2025-02-26,Campbell,51031,10.290390483772622,2.603924603721604,7.131709581976773
2025-02-26,Henry,51089,11.28047562278761,3.6413609283735497,7.568239230390196
2025-02-26,Craig,51045,8.209205499454004,2.4770223503387676,6.335975381100098
2025-02-26,Franklin,51067,10.831332006111918,2.8216904554286937,7.083686487053527
2025-02-26,Roanoke,51161,9.432283575228547,2.892592763734424,6.844988411217067
2025-02-26,Botetourt,51023,9.329164517443681,3.181102619402496,7.119019122780484
2025-02-26,Scott,51169,10.418475206627082,3.8009200268301337,8.085637527058566
2025-02-26,Washington,51191,10.104942143993364,2.3969939121134356,6.48259455948484
2025-02-26,Augusta,51015,8.971155400124033,2.0983723749569605,6.566768591649649
2025-02-26,James City,51095,9.256357143056597,3.2151923332471743,6.802411130426903
2025-02-26,Gloucester,51073,9.672555943714565,2.916311215216195,6.206601242107773
2025-02-26,Isle of Wight,51093,9.385979501458802,3.5968970760014747,6.333808792250859
2025-02-26,York,51199,9.082223478070095,3.944898922578946,6.5554400116826965
2025-02-26,Mathews,51115,8.227841072223493,3.594582329539972,5.574933461687525
2025-02-26,Stafford,51179,12.498803464428438,2.852910628881947,8.255782134598029
2025-02-26,Rappahannock,51157,10.498959098605676,1.8328376953803154,6.892616929487493
2025-02-26,Fauquier,51061,9.949915401780492,0.4218616890274021,5.21694712528587
2025-02-26,Prince William,51153,12.122700245566698,2.1488753479384735,7.409582341755265
2025-02-26,Arlington,51013,13.489620426070871,2.976883531593499,8.206997474633289
2025-02-26,Fairfax,51059,12.50428215584277,2.5252595052158053,7.862668702066424
2025-02-26,Loudoun,51107,9.427701754583504,-0.2963738711528209,4.4673014696832185
2025-02-26,Culpeper,51047,10.316582572959819,0.7346830808672472,5.4358930254929
2025-02-26,Warren,51187,9.718102260756863,1.846035556018617,6.772214373788045
2025-02-26,Spotsylvania,51177,11.37675243895096,2.4627741546671005,7.614360218924732
2025-02-26,Clarke,51043,9.450792549991005,-0.7940644931068576,4.361602619171561
2025-02-26,Frederick,51069,9.27699170545042,-0.6025048116016485,4.634880100603336
2025-02-26,Surry,51181,9.045326879454823,3.0913110366890693,5.4445186406344535
2025-02-26,King and Queen,51097,9.46420742581156,1.1264177112162486,4.081297869479109
2025-02-26,Middlesex,51119,10.318931378120356,2.196499608718664,6.104362626898826
2025-02-26,Essex,51057,9.536599422601078,-0.27454736504442234,3.1092640366223216
2025-02-26,Northumberland,51133,9.250436145096828,1.6669371083843136,5.415236587040769
2025-02-26,Orange,51137,10.346909412213304,0.7781831013939361,5.593697905542658
2025-02-26,Madison,51113,10.966962051270754,1.4943358889113534,6.656169647151827
2025-02-26,Lunenburg,51111,10.243044573832943,2.939838734401933,7.4775938493288985
2025-02-26,Charlotte,51037,10.239148322738567,2.5167867259806243,7.247857867731663
2025-02-26,Cumberland,51049,9.737379279675732,2.9882645061128974,6.780900846734446
2025-02-26,Halifax,51083,10.677295212299985,3.1867558861893324,8.243139340711807
2025-02-26,Shenandoah,51171,9.521776143726967,0.7850348950782541,6.020289202241531
2025-02-26,Southampton,51175,9.103009895267688,3.566517640621035,5.402352676196514
2025-02-26,Northampton,51131,8.743153326732914,3.637479655324184,6.349716117857391
2025-02-26,Brunswick,51025,8.92957820670636,3.543619243108127,6.639997670902658
2025-02-26,Lancaster,51103,9.729792226933723,2.62146798169146,6.334387010130899
2025-02-26,Richmond,51159,9.097025990537682,0.47779419607167173,3.5962689229396636
2025-02-26,Mecklenburg,51117,9.982573440867718,3.8073525849355754,7.37353273087678
2025-02-26,Accomack,51001,8.47895305050027,3.042056139727202,5.8782155509677345
2025-02-26,Greensville,51081,9.080457281545492,2.9240901656983302,5.289176280482055
2025-02-26,Page,51139,9.940669384809617,2.0528240066224264,6.970375709080796
2025-02-26,Westmoreland,51193,9.748707882861227,0.3155912711889033,4.644820780441243
2025-02-26,Nottoway,51135,10.43897981149604,2.18194837807033,7.433564185261024
2025-02-26,King George,51099,11.164713144997009,2.1398471737657503,6.820213246324161
2025-02-26,Prince Edward,51147,9.880261181278199,2.7248245090669427,7.435188207174422
2025-02-26,Louisa,51109,9.942693861233378,2.6146188582833445,6.476681673301238
2025-02-26,Buckingham,51029,9.501828732681703,2.682333941772897,6.458705024711167
2025-02-26,Greene,51079,10.654371849079139,2.353399304397931,6.928836380696951
2025-02-26,Albemarle,51003,9.662827948116002,2.20672630072738,6.030435959525715
2025-02-26,Nelson,51125,9.953290436834948,2.170718361056253,6.307786812642288
2025-02-26,Fluvanna,51065,9.53340933913174,2.4825777826052184,6.382901478418081
2025-02-26,Appomattox,51011,9.759628795230933,2.033853466932654,6.111100819596829
2025-02-26,Hanover,51085,10.882615186956874,1.4782071610606875,6.586148400832403
2025-02-26,Powhatan,51145,10.15855838311269,3.1355080398861688,7.274427910243351
2025-02-26,Goochland,51075,10.353690297267782,3.1845427713938985,7.1444840764682755
2025-02-26,King William,51101,10.016234056068816,1.392773283468263,4.760382487964977
2025-02-26,Henrico,51087,11.25438354580648,2.453605876194889,7.07828634827615
2025-02-26,New Kent,51127,10.604691096003439,1.9202639252658331,6.647972986823794
2025-02-26,Charles City,51036,8.797055566915473,2.3441587009413927,5.75759988850863
2025-02-26,Sussex,51183,9.093799349905215,2.984905149004996,5.368987406653864
2025-02-26,Chesterfield,51041,10.835120973078586,2.1376239343378476,7.486140363837573
2025-02-26,Prince George,51149,9.15022033905986,2.975447285044673,5.927958339427545
2025-02-26,Caroline,51033,11.386215273979822,1.7255187860436707,7.271505812557569
2025-02-26,Dinwiddie,51053,9.061541945871372,1.7836333221612148,5.10652591589837
2025-02-26,Amelia,51007,10.08558300201362,1.9840041535088901,7.053842071681301
2025-02-26,Rockingham,51165,9.260716184680948,2.1247599228643614,6.966855830132697
2025-02-26,Poquoson,51735,8.791171844818388,4.808485792082693,6.728619179328348
2025-02-26,Chesapeake,51550,11.3637987253374,3.58858328359448,8.0836782543894
2025-02-26,Newport News,51700,9.517021530743472,4.931959921476002,6.815680875461197
2025-02-26,Portsmouth,51740,11.719428746247962,4.4823630089210615,8.591968357792297
2025-02-26,Suffolk,51800,10.486442372041655,3.620640671369383,7.2210330647130325
2025-02-26,Hampton,51650,10.678380316544223,4.292110187348296,7.736948540302048
2025-02-26,Virginia Beach,51810,11.886911151985368,4.117180697048464,8.8169863632496
2025-02-26,Norfolk,51710,11.594679817809004,4.776395738728103,8.768232344822474
2025-02-26,Williamsburg,51830,10.353804576376035,3.3607050092764665,7.183090379008776
2025-02-26,Alexandria,51510,13.499358034260949,2.9652391287497424,8.074489548613835
2025-02-26,Falls Church,51610,14.589963433410345,2.407449961508878,8.812291666666695
2025-02-26,Fairfax,51600,13.442355760195479,2.8031198038321037,7.954413800664064
2025-02-26,Manassas Park,51685,12.565177580293142,2.3450517617711535,7.400182023698193
2025-02-26,Manassas,51683,12.256707627455683,2.2603599777300833,6.867583015191312
2025-02-26,Fredericksburg,51630,12.579259275967097,2.827530211001762,7.572165708056115
2025-02-26,Winchester,51840,10.36028551443472,-0.6629691805502298,4.6147306313228595
2025-02-26,Emporia,51595,9.729545470353012,3.1089509650495875,6.057788065843651
2025-02-26,Franklin,51620,11.84294173295771,4.04837848027845,8.608420581979917
2025-02-26,Charlottesville,51540,11.043225136358396,2.952988549765997,7.027636822560085
2025-02-26,Lynchburg,51680,11.404458539304093,3.6999846612387604,8.520444856385923
2025-02-26,Richmond,51760,12.187471615441641,2.3172841393935046,8.258998460693423
2025-02-26,Hopewell,51670,11.213859700330842,4.405044794707173,7.948450671336869
2025-02-26,Petersburg,51730,10.028200619390082,4.220153535247522,6.19118456054482
2025-02-26,Colonial Heights,51570,11.366610905540167,4.015861856305919,7.930400863398118
2025-02-26,Harrisonburg,51660,11.048710540067738,1.3103633471929044,6.627313350600988
2025-02-26,Waynesboro,51820,10.626035467695814,0.9701683862329975,5.842845422803315
2025-02-26,Staunton,51790,10.089696312622891,1.1242580965429902,5.819520065129793
2025-03-05,Covington,51580,13.469263868382239,2.10748541095412,9.38718413836747
2025-03-05,Buena Vista,51530,15.03633572788116,1.607727389942927,9.476029655553532
2025-03-05,Lexington,51678,17.33134221799147,0.8838624464540997,9.556430271299414
2025-03-05,Galax,51640,17.77790970389918,-0.7300320042997879,9.136943711521576
